URL,Question,Option A,Option B,Option C,Option D,Prompt,GT,answer
https://attack.mitre.org/techniques/T1204/002/,"In the context of MITRE ATT&CK T1204.002, which mitigation strategy involves using specific rules on Windows 10 to prevent execution of potentially malicious executables?",Execution Prevention,Behavior Prevention on Endpoint,User Training,Network Segmentation,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK T1204.002, which mitigation strategy involves using specific rules on Windows 10 to prevent execution of potentially malicious executables?  **Options:** A) Execution Prevention B) Behavior Prevention on Endpoint C) User Training D) Network Segmentation  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1204/002/,Which tool has been spread through users' interaction with malicious .zip and .msi files as per MITRE ATT&CK pattern T1204.002?,Disco,Mustang Panda,Dridex,APT32,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which tool has been spread through users' interaction with malicious .zip and .msi files as per MITRE ATT&CK pattern T1204.002?  **Options:** A) Disco B) Mustang Panda C) Dridex D) APT32  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, C
https://attack.mitre.org/techniques/T1204/002/,Which data source can be monitored for detecting file creation events to identify malicious activity under MITRE ATT&CK technique T1204.002?,Network Traffic,Process,File,Registry,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which data source can be monitored for detecting file creation events to identify malicious activity under MITRE ATT&CK technique T1204.002?  **Options:** A) Network Traffic B) Process C) File D) Registry  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1204/002/,"In the ATT&CK pattern T1204.002, which cyber threat group has utilized malicious Microsoft Word and PDF attachments sent via spearphishing?",APT12,APT32,APT41,APT10,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the ATT&CK pattern T1204.002, which cyber threat group has utilized malicious Microsoft Word and PDF attachments sent via spearphishing?  **Options:** A) APT12 B) APT32 C) APT41 D) APT10  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, A
https://attack.mitre.org/techniques/T1204/003/,Which of the following mitigation strategies involves the use of digital signatures to ensure the integrity and publisher of specific image tags?,Auditing (M1047),Code Signing (M1045),Network Intrusion Prevention (M1031),User Training (M1017),"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following mitigation strategies involves the use of digital signatures to ensure the integrity and publisher of specific image tags?  **Options:** A) Auditing (M1047) B) Code Signing (M1045) C) Network Intrusion Prevention (M1031) D) User Training (M1017)  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, B
https://attack.mitre.org/techniques/T1204/003/,What is one of the primary strategies adversaries use in the T1204.003 technique to increase the likelihood of users deploying their malicious images?,Compromising endpoints,Exploiting zero-day vulnerabilities,Matching legitimate names or locations,Delivering through phishing campaigns,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is one of the primary strategies adversaries use in the T1204.003 technique to increase the likelihood of users deploying their malicious images?  **Options:** A) Compromising endpoints B) Exploiting zero-day vulnerabilities C) Matching legitimate names or locations D) Delivering through phishing campaigns  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, D
https://attack.mitre.org/techniques/T1204/003/,Which data source would be most effective in detecting the creation of new containers from potentially malicious images?,Application Log (DS0015),Command Execution (DS0017),Container Creation (DS0032),Image Creation (DS0007),"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which data source would be most effective in detecting the creation of new containers from potentially malicious images?  **Options:** A) Application Log (DS0015) B) Command Execution (DS0017) C) Container Creation (DS0032) D) Image Creation (DS0007)  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1204/003/,The cyber threat group TeamTNT is known for relying on which of the following methods to execute their attacks?,Injecting malicious code into firmware,Using malicious Docker images,Compromising supply chain software,Exploiting buffer overflows,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** The cyber threat group TeamTNT is known for relying on which of the following methods to execute their attacks?  **Options:** A) Injecting malicious code into firmware B) Using malicious Docker images C) Compromising supply chain software D) Exploiting buffer overflows  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1134/005/,"In the context of MITRE ATT&CK Enterprise, which tool uses the MISC::AddSid module for SID-History Injection?",Empire,Mimikatz,Metasploit,Cobalt Strike,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK Enterprise, which tool uses the MISC::AddSid module for SID-History Injection?  **Options:** A) Empire B) Mimikatz C) Metasploit D) Cobalt Strike  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1134/005/,Which of the following is a mitigation strategy for SID-History Injection according to the MITRE ATT&CK framework?,Using Group Policy Objects,Implementing network segmentation,Cleaning up SID-History attributes after legitimate account migration,Using antivirus software,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following is a mitigation strategy for SID-History Injection according to the MITRE ATT&CK framework?  **Options:** A) Using Group Policy Objects B) Implementing network segmentation C) Cleaning up SID-History attributes after legitimate account migration D) Using antivirus software  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1134/005/,Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?,Access Token Manipulation: SID-History Injection,Process Hollowing: Injected Execution,Manipulation of Writing Permissions: ACL-Busting,Remote Access: Credential Dumping,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?  **Options:** A) Access Token Manipulation: SID-History Injection B) Process Hollowing: Injected Execution C) Manipulation of Writing Permissions: ACL-Busting D) Remote Access: Credential Dumping  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, B
https://attack.mitre.org/techniques/T1078/001/,"In the context of T1078.001 Valid Accounts: Default Accounts, which malware leveraged default credentials to connect to IPC$ shares on remote machines?",Stuxnet,HyperStack,Mirai,Magic Hound,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of T1078.001 Valid Accounts: Default Accounts, which malware leveraged default credentials to connect to IPC$ shares on remote machines?  **Options:** A) Stuxnet B) HyperStack C) Mirai D) Magic Hound  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, C
https://attack.mitre.org/techniques/T1078/001/,"Based on T1078.001 Valid Accounts: Default Accounts, what is a recommended mitigation strategy to protect against the use of default credentials?",Encrypting data at rest,Implement Multi-Factor Authentication,Change default username and password immediately after installation,Regular system updates and patches,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Based on T1078.001 Valid Accounts: Default Accounts, what is a recommended mitigation strategy to protect against the use of default credentials?  **Options:** A) Encrypting data at rest B) Implement Multi-Factor Authentication C) Change default username and password immediately after installation D) Regular system updates and patches  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",C, C
https://attack.mitre.org/techniques/T1078/002/,Which technique ID corresponds with adversaries abusing domain accounts?,T1078.001,T1078.002,T1078.003,T1078.004,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which technique ID corresponds with adversaries abusing domain accounts?  **Options:** A) T1078.001 B) T1078.002 C) T1078.003 D) T1078.004  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, B
https://attack.mitre.org/techniques/T1078/002/,Which detection method involves monitoring remote desktop logons and comparing them to known/approved originating systems to detect lateral movement?,Logon Session Creation,Logon Session Metadata,User Account Authentication,Event Log Analysis,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which detection method involves monitoring remote desktop logons and comparing them to known/approved originating systems to detect lateral movement?  **Options:** A) Logon Session Creation B) Logon Session Metadata C) User Account Authentication D) Event Log Analysis  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",A, B
https://attack.mitre.org/techniques/T1078/002/,Which adversary group is known to use legitimate account credentials to move laterally through compromised environments?,APT3,APT5,Cobalt Strike,CreepySnail,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which adversary group is known to use legitimate account credentials to move laterally through compromised environments?  **Options:** A) APT3 B) APT5 C) Cobalt Strike D) CreepySnail  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",B, A
https://attack.mitre.org/techniques/T1078/002/,Which mitigation involves integrating multi-factor authentication (MFA) as part of organizational policy?,User Training,Privileged Account Management,Network Segmentation,Multi-factor Authentication,"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation involves integrating multi-factor authentication (MFA) as part of organizational policy?  **Options:** A) User Training B) Privileged Account Management C) Network Segmentation D) Multi-factor Authentication  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. ",D, D
